C7H8,TMA,VOC,CO2,HCHO,H2S,NH3,CH3SH,SO2,NO2,CO,label
0.006762916,0.0007376855,0.2040091,359.1851,0.08464529,0.09271277,0.0,0.0,0.02484291,0.2605465,1.033207,1A
0.006762916,0.0007376855,0.2183344,359.1851,0.08014281,0.08783314,0.0,0.0,0.02649909,0.2571184,0.9678192,1A
0.006728856,0.0007376855,0.2032528,360.2508,0.07675916,0.09108626,0.0,0.0,0.02815528,0.2605465,0.9851906,1A
0.006762916,0.0007360048,0.2183344,359.1851,0.08125947,0.0894597,0.0,0.0,0.01987429,0.2605465,0.9577528,1A
0.006762916,0.0007360048,0.2168031,357.7138,0.08014281,0.08132699,0.0,0.0,0.02153048,0.2605465,0.9097364,1A
0.006762916,0.0007360048,0.2168031,346.5086,0.06433052,0.08620663,0.0,0.0,0.02981147,0.2605465,0.9646123,1A
0.006762916,0.0007343268,0.2047664,347.5659,0.08014281,0.09271277,0.0,0.0,0.03146765,0.2605465,0.9303152,1A
0.006762916,0.0007343268,0.2040091,347.5659,0.07448784,0.07644735,0.0,0.0,0.02981147,0.2571184,0.9097364,1A
0.006762916,0.0007343268,0.2055245,346.5086,0.07675916,0.07366113,0.0,0.0,0.02981147,0.2605465,0.9028769,1A
0.006762916,0.0007343268,0.2040091,346.5086,0.08352632,0.07644735,0.0,0.0,0.02200056,0.2571184,0.9028769,1A
0.006762916,0.0007326518,0.2183344,346.5086,0.07787365,0.07156777,0.0,0.0,0.02649909,0.2605465,0.9097364,1A
0.006762916,0.0007343268,0.2191015,346.5086,0.08014281,0.07156777,0.0,0.0,0.02153048,0.2605465,0.9371746,1A
0.006762916,0.0007326518,0.2168031,343.9733,0.06882559,0.06460065,0.0,0.0,0.02815528,0.2605465,0.8822986,1A
0.006762916,0.0007326518,0.2040091,346.5086,0.08803111,0.0683147,0.0,0.0,0.02981147,0.2605465,0.9646123,1A
0.006762916,0.0007326518,0.2040091,346.5086,0.08690996,0.07156777,0.0,0.0,0.03312384,0.2605465,0.8960176,1A
0.006762916,0.0007326518,0.2183344,346.5086,0.07337565,0.06064029,0.0,0.0,0.03691613,0.2571184,0.8411416,1A
0.006762916,0.0007326518,0.2175681,337.418,0.07337565,0.06343506,0.0,0.0,0.03643627,0.2571184,0.9028769,1A
0.006762916,0.0007309801,0.2175681,336.3673,0.07787365,0.06668813,0.0,0.0,0.03194431,0.2605465,0.8411416,1A
0.006762916,0.0007326518,0.2175681,337.418,0.09141693,0.06180849,0.0,0.0,0.03478009,0.2571184,0.9028769,1A
0.006762916,0.0007326518,0.2175681,336.3673,0.07787365,0.06506157,0.0,0.0,0.03146765,0.2617553,0.9472274,1A
0.006762916,0.0007326518,0.2168031,346.5086,0.08803111,0.06668813,0.0,0.0,0.03146765,0.2571184,0.8822986,1A
0.006762916,0.0007309801,0.2055245,336.3673,0.08352632,0.06506157,0.0,0.0,0.02981147,0.2605465,0.9508935,1A
0.006762916,0.0007295908,0.2191015,336.3673,0.07787365,0.06343506,0.0,0.0,0.03146765,0.2571184,0.9303152,1A
0.006762916,0.0007326518,0.2191015,336.3673,0.08464529,0.06668813,0.0,0.0,0.03146765,0.2571184,0.9028769,1A
0.006762916,0.0007326518,0.2168031,346.5086,0.08803111,0.06180849,0.0,0.0,0.02981147,0.2571184,0.8648598,1A
0.006797047,0.0007309801,0.2168031,347.5659,0.08464529,0.06018199,0.0,0.0,0.03478009,0.2571184,0.8548605,1A
0.006762916,0.0007326518,0.2168031,346.5086,0.08014281,0.05855542,0.0,0.0,0.02815528,0.2536901,0.8548605,1A
0.006762916,0.0007326518,0.2175681,346.5086,0.08125947,0.06343506,0.0,0.0,0.02815528,0.2536901,0.9303152,1A
0.006762916,0.0007326518,0.2175681,346.5086,0.07787365,0.06506157,0.0,0.0,0.03525887,0.2536901,0.9165958,1A
0.006762916,0.0007326518,0.2191015,347.5659,0.08803111,0.06018199,0.0,0.0,0.03857344,0.2571184,0.8685798,1A
0.006762916,0.0007326518,0.2191015,347.5659,0.08690996,0.05901274,0.0,0.0,0.03643627,0.2571184,0.9028769,1A
0.006797047,0.0007326518,0.2055245,343.9733,0.06999201,0.05972418,0.0,0.0,0.03146765,0.2536901,0.9646123,1A
0.006797047,0.0007326518,0.2175681,359.1851,0.08464529,0.06715071,0.0,0.0,0.03312384,0.2571184,0.8411416,1A
